"rxnID"	"name"	"specie"	"id"	"type"	"MetaID"	"note"
"r_0452"	"(S)-malate[c]"	"s43"	"sa43"	"product"	"CDMT000043"	"base"
"r_0658"	"isocitrate[m]"	"s32"	"sa32"	"reactant"	"CDMT000032"	"base"
"r_0658"	"2-oxoglutarate[m]"	"s44"	"sa44"	"product"	"CDMT000044"	"base"
"r_0659"	"isocitrate[c]"	"s45"	"sa45"	"reactant"	"CDMT000045"	"base"
"r_0659"	"2-oxoglutarate[c]"	"s46"	"sa46"	"product"	"CDMT000046"	"base"
"r_0661"	"isocitrate[p]"	"s47"	"sa47"	"reactant"	"CDMT000047"	"base"
"r_0661"	"2-oxoglutarate[p]"	"s48"	"sa48"	"product"	"CDMT000048"	"base"
"r_0713"	"(S)-malate[m]"	"s41"	"sa41"	"reactant"	"CDMT000041"	"base"
"r_0713"	"oxaloacetate[m]"	"s33"	"sa33"	"product"	"CDMT000033"	"base"
"r_0714"	"(S)-malate[c]"	"s43"	"sa43"	"reactant"	"CDMT000043"	"base"
"r_0714"	"oxaloacetate[c]"	"s22"	"sa22"	"product"	"CDMT000022"	"base"
"r_0715"	"(S)-malate[p]"	"s49"	"sa49"	"reactant"	"CDMT000049"	"base"
"r_0715"	"oxaloacetate[p]"	"s36"	"sa36"	"product"	"CDMT000036"	"base"
"r_0831"	"S(8)-succinyldihydrolipoamide[m]"	"s50"	"sa50"	"reactant"	"CDMT000050"	"base"
"r_0831"	"dihydrolipoamide[m]"	"s51"	"sa51"	"product"	"CDMT000051"	"base"
"r_0831"	"succinyl-CoA[m]"	"s52"	"sa52"	"product"	"CDMT000052"	""
"r_0832"	"2-oxoglutarate[m]"	"s44"	"sa44"	"reactant"	"CDMT000044"	""
"r_0832"	"lipoamide[m]"	"s53"	"sa53"	"reactant"	"CDMT000053"	"base"
"r_0832"	"S(8)-succinyldihydrolipoamide[m]"	"s50"	"sa50"	"product"	"CDMT000050"	"base"
