"gene"	"gene_simple"	"SGD_ID"	"gene_type"	"exist_s288c"	"GEM"
"66-augustus_masked-11538-CPG_1"	"augustus_masked-11538-CPG_1"	NA	"Variable"	"NA"	"NO"
"67-augustus_masked-11588-BAL_7"	"augustus_masked-11588-BAL_7"	NA	"Variable"	"NA"	"NO"
"68-augustus_masked-11590-BAL_7"	"augustus_masked-11590-BAL_7"	NA	"Variable"	"NA"	"NO"
"69-augustus_masked-11590-BAL_7"	"augustus_masked-11590-BAL_7"	NA	"Variable"	"NA"	"NO"
"70-augustus_masked-11626-ASB_2"	"augustus_masked-11626-ASB_2"	NA	"Variable"	"NA"	"NO"
"71-augustus_masked-11626-ASB_2"	"augustus_masked-11626-ASB_2"	NA	"Variable"	"NA"	"NO"
"72-augustus_masked-1166-YCM"	"augustus_masked-1166-YCM"	NA	"Variable"	"NA"	"NO"
"73-augustus_masked-1166-YCM"	"augustus_masked-1166-YCM"	NA	"Variable"	"NA"	"NO"
"74-augustus_masked-11951-BDM_5"	"augustus_masked-11951-BDM_5"	NA	"Variable"	"NA"	"NO"
"75-augustus_masked-11951-BDM_5"	"augustus_masked-11951-BDM_5"	NA	"Variable"	"NA"	"NO"
"76-augustus_masked-11960-BDM_5"	"augustus_masked-11960-BDM_5"	NA	"Variable"	"NA"	"NO"
"77-augustus_masked-11963-BDM_5"	"augustus_masked-11963-BDM_5"	NA	"Variable"	"NA"	"NO"
"78-augustus_masked-1197-YCM"	"augustus_masked-1197-YCM"	NA	"Variable"	"NA"	"NO"
"79-augustus_masked-11976-ANL_2"	"augustus_masked-11976-ANL_2"	NA	"Variable"	"NA"	"NO"
"80-augustus_masked-12142-CPK_4"	"augustus_masked-12142-CPK_4"	NA	"Variable"	"NA"	"NO"
"81-augustus_masked-1220-ANM_2"	"augustus_masked-1220-ANM_2"	NA	"Variable"	"NA"	"NO"
"82-augustus_masked-12212-ALI_5"	"augustus_masked-12212-ALI_5"	NA	"Variable"	"NA"	"NO"
"83-augustus_masked-12212-ALI_5"	"augustus_masked-12212-ALI_5"	NA	"Variable"	"NA"	"NO"
"84-augustus_masked-12212-ALI_5"	"augustus_masked-12212-ALI_5"	NA	"Variable"	"NA"	"NO"
"85-augustus_masked-12217-ALI_5"	"augustus_masked-12217-ALI_5"	NA	"Variable"	"NA"	"NO"
"86-augustus_masked-1224-ANM_2"	"augustus_masked-1224-ANM_2"	NA	"Variable"	"NA"	"NO"
"87-augustus_masked-125-YCE"	"augustus_masked-125-YCE"	NA	"Variable"	"NA"	"NO"
"88-augustus_masked-125-YCE"	"augustus_masked-125-YCE"	NA	"Variable"	"NA"	"NO"
"89-augustus_masked-125-YCE"	"augustus_masked-125-YCE"	NA	"Variable"	"NA"	"NO"
"90-augustus_masked-1265-AHB_2"	"augustus_masked-1265-AHB_2"	NA	"Variable"	"NA"	"NO"
"91-augustus_masked-1266-AHB_2"	"augustus_masked-1266-AHB_2"	NA	"Variable"	"NA"	"NO"
"92-augustus_masked-1266-AHB_2"	"augustus_masked-1266-AHB_2"	NA	"Variable"	"NA"	"NO"
"93-augustus_masked-1266-AHB_2"	"augustus_masked-1266-AHB_2"	NA	"Variable"	"NA"	"NO"
"94-augustus_masked-1285-AHB_2"	"augustus_masked-1285-AHB_2"	NA	"Variable"	"NA"	"NO"
"95-augustus_masked-1364-CFF_4"	"augustus_masked-1364-CFF_4"	NA	"Variable"	"NA"	"NO"
"96-augustus_masked-1372-CFF_4"	"augustus_masked-1372-CFF_4"	NA	"Variable"	"NA"	"NO"
"97-augustus_masked-1375-CFF_4"	"augustus_masked-1375-CFF_4"	NA	"Variable"	"NA"	"NO"
"98-augustus_masked-1375-CFF_4"	"augustus_masked-1375-CFF_4"	NA	"Variable"	"NA"	"NO"
"99-augustus_masked-1375-CFF_4"	"augustus_masked-1375-CFF_4"	NA	"Variable"	"NA"	"NO"
"100-augustus_masked-1375-CFF_4"	"augustus_masked-1375-CFF_4"	NA	"Variable"	"NA"	"NO"
"101-augustus_masked-1375-CFF_4"	"augustus_masked-1375-CFF_4"	NA	"Variable"	"NA"	"NO"
"102-augustus_masked-1433-AAT_3"	"augustus_masked-1433-AAT_3"	NA	"Variable"	"NA"	"NO"
"103-augustus_masked-1449-AAT_3"	"augustus_masked-1449-AAT_3"	NA	"Variable"	"NA"	"NO"
"104-augustus_masked-1452-AAT_3"	"augustus_masked-1452-AAT_3"	NA	"Variable"	"NA"	"NO"
"105-augustus_masked-1454-AAT_3"	"augustus_masked-1454-AAT_3"	NA	"Variable"	"NA"	"NO"
"106-augustus_masked-1568-CBK_4"	"augustus_masked-1568-CBK_4"	NA	"Variable"	"NA"	"NO"
"107-augustus_masked-1645-AQT_4"	"augustus_masked-1645-AQT_4"	NA	"Variable"	"NA"	"NO"
"108-augustus_masked-1649-AIE_1"	"augustus_masked-1649-AIE_1"	NA	"Variable"	"NA"	"NO"
"109-augustus_masked-1649-AIE_1"	"augustus_masked-1649-AIE_1"	NA	"Variable"	"NA"	"NO"
"110-augustus_masked-1649-AIE_1"	"augustus_masked-1649-AIE_1"	NA	"Variable"	"NA"	"NO"
"111-augustus_masked-1649-AIE_1"	"augustus_masked-1649-AIE_1"	NA	"Variable"	"NA"	"NO"
"112-augustus_masked-1649-AIE_1"	"augustus_masked-1649-AIE_1"	NA	"Variable"	"NA"	"NO"
"113-augustus_masked-1649-AIE_1"	"augustus_masked-1649-AIE_1"	NA	"Variable"	"NA"	"NO"
"114-augustus_masked-1654-AIE_1"	"augustus_masked-1654-AIE_1"	NA	"Variable"	"NA"	"NO"
"115-augustus_masked-1654-AIE_1"	"augustus_masked-1654-AIE_1"	NA	"Variable"	"NA"	"NO"
"116-augustus_masked-1659-AIE_1"	"augustus_masked-1659-AIE_1"	NA	"Variable"	"NA"	"NO"
"117-augustus_masked-1659-AIE_1"	"augustus_masked-1659-AIE_1"	NA	"Variable"	"NA"	"NO"
"118-augustus_masked-1661-AIE_1"	"augustus_masked-1661-AIE_1"	NA	"Variable"	"NA"	"NO"
"119-augustus_masked-1663-AIE_1"	"augustus_masked-1663-AIE_1"	NA	"Variable"	"NA"	"NO"
"120-augustus_masked-1671-AIE_1"	"augustus_masked-1671-AIE_1"	NA	"Variable"	"NA"	"NO"
"121-augustus_masked-1683-AIE_1"	"augustus_masked-1683-AIE_1"	NA	"Variable"	"NA"	"NO"
"122-augustus_masked-1684-AIE_1"	"augustus_masked-1684-AIE_1"	NA	"Variable"	"NA"	"NO"
"123-augustus_masked-1685-AIE_1"	"augustus_masked-1685-AIE_1"	NA	"Variable"	"NA"	"NO"
"124-augustus_masked-1688-AIE_1"	"augustus_masked-1688-AIE_1"	NA	"Variable"	"NA"	"NO"
"125-augustus_masked-1689-AIE_1"	"augustus_masked-1689-AIE_1"	NA	"Variable"	"NA"	"NO"
"126-augustus_masked-1689-AIE_1"	"augustus_masked-1689-AIE_1"	NA	"Variable"	"NA"	"NO"
"127-augustus_masked-1689-AIE_1"	"augustus_masked-1689-AIE_1"	NA	"Variable"	"NA"	"NO"
"128-augustus_masked-1697-AIE_1"	"augustus_masked-1697-AIE_1"	NA	"Variable"	"NA"	"NO"
"129-augustus_masked-1697-AIE_1"	"augustus_masked-1697-AIE_1"	NA	"Variable"	"NA"	"NO"
"130-augustus_masked-1697-AIE_1"	"augustus_masked-1697-AIE_1"	NA	"Variable"	"NA"	"NO"
"131-augustus_masked-1697-AIE_1"	"augustus_masked-1697-AIE_1"	NA	"Variable"	"NA"	"NO"
"132-augustus_masked-1697-AIE_1"	"augustus_masked-1697-AIE_1"	NA	"Variable"	"NA"	"NO"
"133-augustus_masked-1698-AIE_1"	"augustus_masked-1698-AIE_1"	NA	"Variable"	"NA"	"NO"
"134-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"135-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"136-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"137-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"138-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"139-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"140-augustus_masked-1700-AIE_1"	"augustus_masked-1700-AIE_1"	NA	"Variable"	"NA"	"NO"
"141-augustus_masked-1706-AIE_1"	"augustus_masked-1706-AIE_1"	NA	"Variable"	"NA"	"NO"
"142-augustus_masked-1731-ATP_4"	"augustus_masked-1731-ATP_4"	NA	"Variable"	"NA"	"NO"
"143-augustus_masked-175-YCE"	"augustus_masked-175-YCE"	NA	"Variable"	"NA"	"NO"
"144-augustus_masked-182-ABQ_6"	"augustus_masked-182-ABQ_6"	NA	"Variable"	"NA"	"NO"
"145-augustus_masked-1903-CLC_4"	"augustus_masked-1903-CLC_4"	NA	"Variable"	"NA"	"NO"
"146-augustus_masked-1981-YCU"	"augustus_masked-1981-YCU"	NA	"Variable"	"NA"	"NO"
"147-augustus_masked-1985-AID_2"	"augustus_masked-1985-AID_2"	NA	"Variable"	"NA"	"NO"
"148-augustus_masked-1999-AID_2"	"augustus_masked-1999-AID_2"	NA	"Variable"	"NA"	"NO"
"149-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"150-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"151-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"152-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"153-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"154-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"155-augustus_masked-2075-ARN_6"	"augustus_masked-2075-ARN_6"	NA	"Variable"	"NA"	"NO"
"156-augustus_masked-2151-BRV_4"	"augustus_masked-2151-BRV_4"	NA	"Variable"	"NA"	"NO"
"157-augustus_masked-2154-BRV_4"	"augustus_masked-2154-BRV_4"	NA	"Variable"	"NA"	"NO"
"158-augustus_masked-2154-BRV_4"	"augustus_masked-2154-BRV_4"	NA	"Variable"	"NA"	"NO"
"159-augustus_masked-2209-ABD_5"	"augustus_masked-2209-ABD_5"	NA	"Variable"	"NA"	"NO"
"160-augustus_masked-223-BFM_3"	"augustus_masked-223-BFM_3"	NA	"Variable"	"NA"	"NO"
"161-augustus_masked-2311-AKE_3"	"augustus_masked-2311-AKE_3"	NA	"Variable"	"NA"	"NO"
"162-augustus_masked-2356-ARB_2"	"augustus_masked-2356-ARB_2"	NA	"Variable"	"NA"	"NO"
"163-augustus_masked-2357-ARB_2"	"augustus_masked-2357-ARB_2"	NA	"Variable"	"NA"	"NO"
"164-augustus_masked-2357-ARB_2"	"augustus_masked-2357-ARB_2"	NA	"Variable"	"NA"	"NO"
"165-augustus_masked-2358-ARB_2"	"augustus_masked-2358-ARB_2"	NA	"Variable"	"NA"	"NO"
"166-augustus_masked-2358-ARB_2"	"augustus_masked-2358-ARB_2"	NA	"Variable"	"NA"	"NO"
"167-augustus_masked-237-BFM_3"	"augustus_masked-237-BFM_3"	NA	"Variable"	"NA"	"NO"
"168-augustus_masked-2370-ARB_2"	"augustus_masked-2370-ARB_2"	NA	"Variable"	"NA"	"NO"
"169-augustus_masked-2392-BTV_5"	"augustus_masked-2392-BTV_5"	NA	"Variable"	"NA"	"NO"
"170-augustus_masked-2392-BTV_5"	"augustus_masked-2392-BTV_5"	NA	"Variable"	"NA"	"NO"
"171-augustus_masked-244-BFM_3"	"augustus_masked-244-BFM_3"	NA	"Variable"	"NA"	"NO"
"172-augustus_masked-253-BFM_3"	"augustus_masked-253-BFM_3"	NA	"Variable"	"NA"	"NO"
"173-augustus_masked-2546-BAD_8"	"augustus_masked-2546-BAD_8"	NA	"Variable"	"NA"	"NO"
"174-augustus_masked-2591-YAA"	"augustus_masked-2591-YAA"	NA	"Variable"	"NA"	"NO"
"175-augustus_masked-2782-CPI_4"	"augustus_masked-2782-CPI_4"	NA	"Variable"	"NA"	"NO"
"176-augustus_masked-2799-CPI_4"	"augustus_masked-2799-CPI_4"	NA	"Variable"	"NA"	"NO"
"177-augustus_masked-2802-CPI_4"	"augustus_masked-2802-CPI_4"	NA	"Variable"	"NA"	"NO"
"178-augustus_masked-2804-CPI_4"	"augustus_masked-2804-CPI_4"	NA	"Variable"	"NA"	"NO"
"179-augustus_masked-2806-CPI_4"	"augustus_masked-2806-CPI_4"	NA	"Variable"	"NA"	"NO"
"180-augustus_masked-2809-CPI_4"	"augustus_masked-2809-CPI_4"	NA	"Variable"	"NA"	"NO"
"181-augustus_masked-2810-CPI_4"	"augustus_masked-2810-CPI_4"	NA	"Variable"	"NA"	"NO"
"182-augustus_masked-2811-CPI_4"	"augustus_masked-2811-CPI_4"	NA	"Variable"	"NA"	"NO"
"183-augustus_masked-2811-CPI_4"	"augustus_masked-2811-CPI_4"	NA	"Variable"	"NA"	"NO"
"184-augustus_masked-2814-CPI_4"	"augustus_masked-2814-CPI_4"	NA	"Variable"	"NA"	"NO"
"185-augustus_masked-2814-CPI_4"	"augustus_masked-2814-CPI_4"	NA	"Variable"	"NA"	"NO"
"186-augustus_masked-2814-CPI_4"	"augustus_masked-2814-CPI_4"	NA	"Variable"	"NA"	"NO"
"187-augustus_masked-2814-CPI_4"	"augustus_masked-2814-CPI_4"	NA	"Variable"	"NA"	"NO"
"188-augustus_masked-2814-CPI_4"	"augustus_masked-2814-CPI_4"	NA	"Variable"	"NA"	"NO"
"189-augustus_masked-2814-CPI_4"	"augustus_masked-2814-CPI_4"	NA	"Variable"	"NA"	"NO"
"190-augustus_masked-2843-CPI_4"	"augustus_masked-2843-CPI_4"	NA	"Variable"	"NA"	"NO"
"191-augustus_masked-2848-CPI_4"	"augustus_masked-2848-CPI_4"	NA	"Variable"	"NA"	"NO"
"192-augustus_masked-2854-CPI_4"	"augustus_masked-2854-CPI_4"	NA	"Variable"	"NA"	"NO"
"193-augustus_masked-2860-CPI_4"	"augustus_masked-2860-CPI_4"	NA	"Variable"	"NA"	"NO"
"194-augustus_masked-2860-CPI_4"	"augustus_masked-2860-CPI_4"	NA	"Variable"	"NA"	"NO"
"195-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"196-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"197-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"198-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"199-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"200-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"201-augustus_masked-2861-CPI_4"	"augustus_masked-2861-CPI_4"	NA	"Variable"	"NA"	"NO"
"202-augustus_masked-2866-CPI_4"	"augustus_masked-2866-CPI_4"	NA	"Variable"	"NA"	"NO"
"203-augustus_masked-2870-CLM_4"	"augustus_masked-2870-CLM_4"	NA	"Variable"	"NA"	"NO"
"204-augustus_masked-2970-AEE_3"	"augustus_masked-2970-AEE_3"	NA	"Variable"	"NA"	"NO"
"205-augustus_masked-3001-BGP_1"	"augustus_masked-3001-BGP_1"	NA	"Variable"	"NA"	"NO"
"206-augustus_masked-3085-AHL_3"	"augustus_masked-3085-AHL_3"	NA	"Variable"	"NA"	"NO"
"207-augustus_masked-3085-AHL_3"	"augustus_masked-3085-AHL_3"	NA	"Variable"	"NA"	"NO"
"208-augustus_masked-3088-AHL_3"	"augustus_masked-3088-AHL_3"	NA	"Variable"	"NA"	"NO"
"209-augustus_masked-310-ALB_3"	"augustus_masked-310-ALB_3"	NA	"Variable"	"NA"	"NO"
"210-augustus_masked-3103-AHL_3"	"augustus_masked-3103-AHL_3"	NA	"Variable"	"NA"	"NO"
"211-augustus_masked-3105-AHL_3"	"augustus_masked-3105-AHL_3"	NA	"Variable"	"NA"	"NO"
"212-augustus_masked-3105-AHL_3"	"augustus_masked-3105-AHL_3"	NA	"Variable"	"NA"	"NO"
"213-augustus_masked-314-ALB_3"	"augustus_masked-314-ALB_3"	NA	"Variable"	"NA"	"NO"
"214-augustus_masked-3210-CEH_4"	"augustus_masked-3210-CEH_4"	NA	"Variable"	"NA"	"NO"
"215-augustus_masked-3286-BHG_2"	"augustus_masked-3286-BHG_2"	NA	"Variable"	"NA"	"NO"
"216-augustus_masked-3344-CLG_4"	"augustus_masked-3344-CLG_4"	NA	"Variable"	"NA"	"NO"
"217-augustus_masked-339-ALB_3"	"augustus_masked-339-ALB_3"	NA	"Variable"	"NA"	"NO"
"218-augustus_masked-339-ALB_3"	"augustus_masked-339-ALB_3"	NA	"Variable"	"NA"	"NO"
"219-augustus_masked-340-ALB_3"	"augustus_masked-340-ALB_3"	NA	"Variable"	"NA"	"NO"
"220-augustus_masked-345-ALB_3"	"augustus_masked-345-ALB_3"	NA	"Variable"	"NA"	"NO"
"221-augustus_masked-3523-CFG_4"	"augustus_masked-3523-CFG_4"	NA	"Variable"	"NA"	"NO"
"222-augustus_masked-36-ARV_6"	"augustus_masked-36-ARV_6"	NA	"Variable"	"NA"	"NO"
"223-augustus_masked-3612-CNG_4"	"augustus_masked-3612-CNG_4"	NA	"Variable"	"NA"	"NO"
"224-augustus_masked-365-YDJ"	"augustus_masked-365-YDJ"	NA	"Variable"	"NA"	"NO"
"225-augustus_masked-3859-CMG_6"	"augustus_masked-3859-CMG_6"	NA	"Variable"	"NA"	"NO"
"226-augustus_masked-3859-CMG_6"	"augustus_masked-3859-CMG_6"	NA	"Variable"	"NA"	"NO"
"227-augustus_masked-3919-CCQ_1"	"augustus_masked-3919-CCQ_1"	NA	"Variable"	"NA"	"NO"
"228-augustus_masked-4176-BEK_7"	"augustus_masked-4176-BEK_7"	NA	"Variable"	"NA"	"NO"
"229-augustus_masked-4305-BND_3"	"augustus_masked-4305-BND_3"	NA	"Variable"	"NA"	"NO"
"230-augustus_masked-4431-BFP_3"	"augustus_masked-4431-BFP_3"	NA	"Variable"	"NA"	"NO"
"231-augustus_masked-4576-BGM_1"	"augustus_masked-4576-BGM_1"	NA	"Variable"	"NA"	"NO"
"232-augustus_masked-4658-BEB_6_C37T3ACXX.IND41b"	"augustus_masked-4658-BEB_6_C37T3ACXX.IND41b"	NA	"Variable"	"NA"	"NO"
"233-augustus_masked-4747-CNV_4"	"augustus_masked-4747-CNV_4"	NA	"Variable"	"NA"	"NO"
"234-augustus_masked-4747-CNV_4"	"augustus_masked-4747-CNV_4"	NA	"Variable"	"NA"	"NO"
"235-augustus_masked-4747-CNV_4"	"augustus_masked-4747-CNV_4"	NA	"Variable"	"NA"	"NO"
"236-augustus_masked-4748-CNV_4"	"augustus_masked-4748-CNV_4"	NA	"Variable"	"NA"	"NO"
"237-augustus_masked-4776-BCQ_8"	"augustus_masked-4776-BCQ_8"	NA	"Variable"	"NA"	"NO"
"238-augustus_masked-4776-BCQ_8"	"augustus_masked-4776-BCQ_8"	NA	"Variable"	"NA"	"NO"
"239-augustus_masked-479-AFG_4"	"augustus_masked-479-AFG_4"	NA	"Variable"	"NA"	"NO"
"240-augustus_masked-4803-CPS_4"	"augustus_masked-4803-CPS_4"	NA	"Variable"	"NA"	"NO"
"241-augustus_masked-4866-BCP_8"	"augustus_masked-4866-BCP_8"	NA	"Variable"	"NA"	"NO"
"242-augustus_masked-4866-BCP_8"	"augustus_masked-4866-BCP_8"	NA	"Variable"	"NA"	"NO"
"243-augustus_masked-4867-BCP_8"	"augustus_masked-4867-BCP_8"	NA	"Variable"	"NA"	"NO"
"244-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"245-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"246-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"247-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"248-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"249-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"250-augustus_masked-4896-BLT_2"	"augustus_masked-4896-BLT_2"	NA	"Variable"	"NA"	"NO"
"251-augustus_masked-515-ADN_4"	"augustus_masked-515-ADN_4"	NA	"Variable"	"NA"	"NO"
"252-augustus_masked-516-ADN_4"	"augustus_masked-516-ADN_4"	NA	"Variable"	"NA"	"NO"
"253-augustus_masked-5248-CIL_2"	"augustus_masked-5248-CIL_2"	NA	"Variable"	"NA"	"NO"
