"gene"	"gene_simple"	"SGD_ID"	"gene_type"	"exist_s288c"	"GEM"
"1-EC1118_1F14_0012g"	"EC1118_1F14_0012g"	NA	"Variable"	"NA"	"NO"
"2-EC1118_1F14_0023g"	"EC1118_1F14_0023g"	NA	"Variable"	"NA"	"NO"
"3-EC1118_1F14_0034g"	"EC1118_1F14_0034g"	NA	"Variable"	"NA"	"NO"
"4-EC1118_1F14_0045g"	"EC1118_1F14_0045g"	NA	"Variable"	"NA"	"NO"
"5-EC1118_1F14_0056g"	"EC1118_1F14_0056g"	NA	"Variable"	"NA"	"NO"
"6-EC1118_1F14_0078g"	"EC1118_1F14_0078g"	NA	"Variable"	"NA"	"NO"
"7-EC1118_1F14_0089g"	"EC1118_1F14_0089g"	NA	"Variable"	"NA"	"NO"
"8-EC1118_1F14_0100g"	"EC1118_1F14_0100g"	NA	"Variable"	"NA"	"NO"
"9-EC1118_1F14_0111g"	"EC1118_1F14_0111g"	NA	"Variable"	"NA"	"NO"
"10-EC1118_1F14_0133g"	"EC1118_1F14_0133g"	NA	"Variable"	"NA"	"NO"
"11-EC1118_1F14_0144g"	"EC1118_1F14_0144g"	NA	"Variable"	"NA"	"NO"
"12-EC1118_1F14_0155g"	"EC1118_1F14_0155g"	NA	"Variable"	"NA"	"NO"
"13-EC1118_1N26_0012g"	"EC1118_1N26_0012g"	NA	"Variable"	"NA"	"NO"
"14-EC1118_1N26_0023g"	"EC1118_1N26_0023g"	NA	"Variable"	"NA"	"NO"
"15-EC1118_1N26_0034g"	"EC1118_1N26_0034g"	NA	"Variable"	"NA"	"NO"
"16-EC1118_1N26_0045g"	"EC1118_1N26_0045g"	NA	"Variable"	"NA"	"NO"
"17-EC1118_1N26_0056g"	"EC1118_1N26_0056g"	NA	"Variable"	"NA"	"NO"
"18-EC1118_1O4_6480g"	"EC1118_1O4_6480g"	NA	"Variable"	"NA"	"NO"
"19-EC1118_1O4_6491g"	"EC1118_1O4_6491g"	NA	"Variable"	"NA"	"NO"
"20-EC1118_1O4_6502g_NumOfGenes_2"	"EC1118_1O4_6502g"	NA	"Variable"	"NA"	"NO"
"21-EC1118_1O4_6524g"	"EC1118_1O4_6524g"	NA	"Variable"	"NA"	"NO"
"22-EC1118_1O4_6535g"	"EC1118_1O4_6535g"	NA	"Variable"	"NA"	"NO"
"23-EC1118_1O4_6546g"	"EC1118_1O4_6546g"	NA	"Variable"	"NA"	"NO"
"24-EC1118_1O4_6557g"	"EC1118_1O4_6557g"	NA	"Variable"	"NA"	"NO"
"25-EC1118_1O4_6568g"	"EC1118_1O4_6568g"	NA	"Variable"	"NA"	"NO"
"26-EC1118_1O4_6579g"	"EC1118_1O4_6579g"	NA	"Variable"	"NA"	"NO"
"27-EC1118_1O4_6612g"	"EC1118_1O4_6612g"	NA	"Variable"	"NA"	"NO"
"28-EC1118_1O4_6623g"	"EC1118_1O4_6623g"	NA	"Variable"	"NA"	"NO"
"29-EC1118_1O4_6634g"	"EC1118_1O4_6634g"	NA	"Variable"	"NA"	"NO"
"30-EC1118_1O4_6645g"	"EC1118_1O4_6645g"	NA	"Variable"	"NA"	"NO"
"31-EC1118_1O4_6656g"	"EC1118_1O4_6656g"	NA	"Variable"	"NA"	"NO"
"32-augustus_masked-1-AMHPLA_TAIW"	"augustus_masked-1-AMHPLA_TAIW"	NA	"Variable"	"NA"	"NO"
"33-augustus_masked-1-AMHPLA_TAIW"	"augustus_masked-1-AMHPLA_TAIW"	NA	"Variable"	"NA"	"NO"
"34-augustus_masked-1-AMHPLA_TAIW"	"augustus_masked-1-AMHPLA_TAIW"	NA	"Variable"	"NA"	"NO"
"35-augustus_masked-1-AMHPLA_TAIW"	"augustus_masked-1-AMHPLA_TAIW"	NA	"Variable"	"NA"	"NO"
"36-augustus_masked-2-CGIPLA_MA"	"augustus_masked-2-CGIPLA_MA"	NA	"Variable"	"NA"	"NO"
"37-augustus_masked-2-CGIPLA_MA"	"augustus_masked-2-CGIPLA_MA"	NA	"Variable"	"NA"	"NO"
"38-augustus_masked-2-CGIPLA_MA"	"augustus_masked-2-CGIPLA_MA"	NA	"Variable"	"NA"	"NO"
"39-augustus_masked-2-CGIPLA_MA"	"augustus_masked-2-CGIPLA_MA"	NA	"Variable"	"NA"	"NO"
"40-augustus_masked-3-ALIPLA_SA"	"augustus_masked-3-ALIPLA_SA"	NA	"Variable"	"NA"	"NO"
"41-augustus_masked-3-ALIPLA_SA"	"augustus_masked-3-ALIPLA_SA"	NA	"Variable"	"NA"	"NO"
"42-augustus_masked-3-ALIPLA_SA"	"augustus_masked-3-ALIPLA_SA"	NA	"Variable"	"NA"	"NO"
"43-snap_masked-3-ALIPLA_SA"	"snap_masked-3-ALIPLA_SA"	NA	"Variable"	"NA"	"NO"
"44-PUT_AA_TRASP-R.14848-"	"PUT_AA_TRASP-R.14848-"	NA	"Variable"	"NA"	"NO"
"45-PUT_IRON_TRASP-R.14849-"	"PUT_IRON_TRASP-R.14849-"	NA	"Variable"	"NA"	"NO"
"46-PUT_LAC_TRASP-R.14850-"	"PUT_LAC_TRASP-R.14850-"	NA	"Variable"	"NA"	"NO"
"47-RTM1-R.14851-"	"RTM1-R.14851-"	NA	"Variable"	"NA"	"NO"
"48-MPR1-R.14847-"	"MPR1-R.14847-"	NA	"Variable"	"NA"	"NO"
"49-MEL1-R.14846-"	"MEL1-R.14846-"	NA	"Variable"	"NA"	"NO"
"50-BIO6-R.8578-"	"BIO6-R.8578-"	NA	"Variable"	"NA"	"NO"
"58-augustus_masked-11091-BAF_6"	"augustus_masked-11091-BAF_6"	NA	"Variable"	"NA"	"NO"
"59-augustus_masked-1113-BMC_1"	"augustus_masked-1113-BMC_1"	NA	"Variable"	"NA"	"NO"
"60-augustus_masked-11172-CPM_4"	"augustus_masked-11172-CPM_4"	NA	"Variable"	"NA"	"NO"
"61-augustus_masked-11216-CPN_4"	"augustus_masked-11216-CPN_4"	NA	"Variable"	"NA"	"NO"
"62-augustus_masked-11537-CPG_1"	"augustus_masked-11537-CPG_1"	NA	"Variable"	"NA"	"NO"
"63-augustus_masked-11538-CPG_1"	"augustus_masked-11538-CPG_1"	NA	"Variable"	"NA"	"NO"
"64-augustus_masked-11538-CPG_1"	"augustus_masked-11538-CPG_1"	NA	"Variable"	"NA"	"NO"
"65-augustus_masked-11538-CPG_1"	"augustus_masked-11538-CPG_1"	NA	"Variable"	"NA"	"NO"
